campaign_id	source	start_date	end_date	cost_per_customer
1	YouTube	5/30/2019	12/31/2019	12
2	Facebook	5/30/2019	12/31/2019	15
3	Google Ads	5/30/2019	12/31/2019	10
4	YouTube	1/1/2020	1/31/2020	9
5	Facebook	1/1/2020	3/31/2020	12
6	Google Ads	2/1/2020	2/28/2020	13
7	YouTube	3/25/2020	6/30/2020	15
8	Facebook	6/18/2020	8/30/2020	16
9	Google Ads	5/1/2020	9/1/2020	18
10	YouTube	8/12/2020	12/31/2020	19
11	Facebook	11/13/2020	3/10/2021	13
12	YouTube	2/23/2021	6/30/2021	11
13	Facebook	4/1/2021	7/12/2021	10
14	Google Ads	3/12/2021	8/5/2021	11
15	Organic	5/30/2019	8/5/2021	0
